,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,type,city
175,1,0,3.6,66,1,73,2164,150.0,2,1
176,1,0,3.0,290,1,73,1690,450.0,2,1
177,1,0,4.1,233,4,73,2293,200.0,2,1
178,1,0,3.8,115,48,73,1185,250.0,2,1
179,1,0,3.1,119,1,24,338,700.0,2,1
180,1,1,3.9,291,31,16,521,650.0,2,1
181,1,0,4.5,155,31,11,324,300.0,2,1
182,1,0,4.1,305,48,24,1327,700.0,2,1
183,1,0,3.6,46,1,73,1161,500.0,2,1
184,1,0,3.5,45,48,73,267,350.0,2,1
185,1,0,3.9,38,1,37,1303,150.0,2,1
186,1,0,3.9,441,1,73,2242,400.0,2,1
187,1,0,3.9,25,4,73,2164,100.0,2,1
188,1,0,4.3,630,31,73,2015,200.0,2,1
189,1,0,3.8,25,48,73,2164,150.0,2,1
190,1,0,3.9,160,48,73,107,300.0,2,1
191,1,0,4.2,287,1,73,1597,350.0,2,1
192,1,0,3.6,11,4,73,2164,100.0,2,1
193,1,0,4.1,402,1,16,479,500.0,2,1
194,1,0,3.8,469,4,24,1683,750.0,2,1
195,1,0,3.3,511,48,24,209,550.0,2,1
196,1,0,3.9,57,1,73,2253,200.0,2,1
197,1,0,3.4,14,1,73,2164,300.0,2,1
198,1,0,3.9,264,1,73,2164,200.0,2,1
199,1,0,3.0,62,1,16,615,400.0,2,1
200,1,0,3.8,693,1,24,2049,750.0,2,1
201,1,0,3.8,242,31,24,1499,650.0,2,1
202,1,0,3.6,27,4,37,1098,250.0,2,1
203,1,0,4.1,163,4,73,940,500.0,2,1
204,1,0,4.2,191,4,73,2310,250.0,2,1
205,1,0,3.5,32,1,73,2065,150.0,2,1
206,1,0,2.5,247,1,24,1597,500.0,2,1
207,1,1,4.1,2339,31,24,1679,1500.0,2,1
208,1,0,4.1,337,31,73,745,300.0,2,1
209,1,0,3.9,135,1,24,1698,800.0,2,1
210,1,0,3.6,172,83,24,1662,700.0,2,1
211,1,0,3.6,105,1,24,2380,700.0,2,1
212,1,0,4.2,504,1,16,658,550.0,2,1
213,1,0,3.2,36,48,73,1206,200.0,2,1
214,1,0,3.1,39,48,73,1597,300.0,2,1
215,1,0,3.1,5,48,24,1690,500.0,2,1
217,1,1,4.3,1129,31,24,1375,1300.0,2,1
218,1,0,3.9,56,48,73,1662,350.0,2,1
219,1,0,4.3,860,1,37,1064,500.0,2,1
220,1,0,3.8,412,31,24,95,700.0,2,1
221,1,1,3.9,142,31,24,1503,1000.0,2,1
222,1,0,3.0,23,31,73,49,400.0,2,1
223,1,0,3.6,143,31,24,2178,750.0,2,1
224,1,1,2.8,80,31,24,2169,500.0,2,1
225,1,0,3.6,16,29,24,2164,400.0,2,1
226,1,0,4.4,181,31,11,330,250.0,2,1
227,1,0,3.8,70,31,73,2009,200.0,2,1
228,1,0,3.8,164,4,73,2052,600.0,2,1
229,1,0,3.6,58,48,73,518,650.0,2,1
230,0,0,3.8,148,4,26,1659,550.0,2,1
231,0,0,3.9,206,4,73,2231,450.0,2,1
234,0,0,3.6,16,56,73,2164,300.0,2,1
235,0,0,3.7,217,4,24,1779,450.0,2,1
236,0,0,3.6,46,4,73,98,450.0,2,1
237,0,0,3.8,148,4,73,1206,150.0,2,1
238,0,0,3.4,30,4,37,1041,250.0,2,1
239,0,0,3.6,8,56,24,1952,800.0,2,1
240,0,0,3.3,4,31,73,2164,250.0,2,1
241,0,0,3.5,15,4,5,222,400.0,2,1
245,1,0,3.4,9,83,73,2293,200.0,2,1
247,1,0,3.7,31,56,73,2236,300.0,2,1
248,1,0,2.9,177,31,24,1686,700.0,2,1
249,1,0,3.7,22,4,83,1532,250.0,2,1
250,1,0,3.5,10,48,11,1388,100.0,2,1
251,1,0,3.7,136,1,73,2100,600.0,2,1
252,1,0,2.9,35,48,73,1662,250.0,2,1
253,1,0,4.1,185,31,73,1392,200.0,2,1
254,1,0,3.2,17,31,16,601,900.0,2,1
255,1,0,3.8,155,56,24,2253,400.0,2,1
256,1,0,3.8,42,1,73,2239,300.0,2,1
257,1,0,3.8,286,4,24,1597,600.0,2,1
258,1,0,3.8,160,1,24,1662,700.0,2,1
259,1,0,3.8,59,1,24,1662,750.0,2,1
260,1,0,3.5,90,31,24,2129,500.0,2,1
261,1,0,3.7,51,48,73,2231,350.0,2,1
262,1,0,4.0,89,31,73,2174,200.0,2,1
263,1,0,3.6,18,1,73,1189,250.0,2,1
264,1,0,3.9,40,4,24,1778,600.0,2,1
265,1,0,2.5,35,4,73,1098,200.0,2,1
266,1,0,3.4,89,31,73,1762,250.0,2,1
267,1,0,3.2,11,4,73,294,150.0,2,1
268,1,0,3.6,62,1,76,1350,600.0,2,1
269,1,0,3.9,33,31,37,1041,300.0,2,1
270,1,0,3.8,32,31,83,1071,250.0,2,1
271,1,0,4.1,139,31,24,1774,550.0,2,1
272,1,0,3.2,154,86,73,1098,300.0,2,1
273,1,0,3.6,14,1,0,230,350.0,2,1
274,1,0,3.7,237,1,73,2213,200.0,2,1
275,1,0,3.9,388,1,24,424,650.0,2,1
277,1,0,3.9,128,48,24,2210,500.0,2,1
278,1,1,4.1,1875,31,24,1600,1200.0,2,1
279,1,0,3.8,90,1,16,479,650.0,2,1
280,1,0,3.1,7,48,73,1342,250.0,2,1
281,1,0,3.7,38,83,24,2236,400.0,2,1
282,1,0,4.2,179,1,36,2033,600.0,2,1
283,1,0,4.0,43,4,37,1064,250.0,2,1
284,1,0,4.3,275,4,73,2164,100.0,2,1
285,1,0,3.7,323,31,24,849,850.0,2,1
286,1,0,3.1,28,83,24,2239,400.0,2,1
287,1,0,3.9,18,4,73,2221,200.0,2,1
288,1,0,3.3,6,4,73,2310,100.0,2,1
290,1,0,4.3,322,31,24,2164,400.0,2,1
291,1,0,2.6,157,31,16,496,450.0,2,1
292,1,0,3.9,543,4,73,2213,300.0,2,1
293,1,0,3.7,180,1,16,672,500.0,2,1
294,1,0,4.2,444,4,73,2164,100.0,2,1
295,1,0,3.9,134,31,73,2330,400.0,2,1
296,1,0,3.8,577,31,24,1959,900.0,2,1
297,1,0,4.2,60,1,73,2253,200.0,2,1
298,1,0,3.9,144,31,24,1762,550.0,2,1
299,1,0,4.1,787,1,24,820,800.0,2,1
300,1,0,3.6,16,4,73,2164,200.0,2,1
301,1,0,3.6,84,1,73,2239,250.0,2,1
302,1,0,3.6,95,1,73,2277,150.0,2,1
303,1,1,4.0,349,1,24,2124,1200.0,2,1
304,1,0,3.7,248,48,73,1833,400.0,2,1
305,1,0,4.1,216,4,16,552,500.0,2,1
307,1,0,4.0,324,1,16,633,700.0,2,1
308,1,0,2.6,231,48,73,1765,400.0,2,1
309,1,0,3.4,102,83,24,2241,400.0,2,1
310,1,0,3.9,133,1,16,608,800.0,2,1
311,1,0,2.8,45,1,24,2060,800.0,2,1
312,1,0,3.9,149,48,73,1142,300.0,2,1
313,1,0,3.8,75,1,73,1135,200.0,2,1
314,1,0,4.0,53,67,36,1527,600.0,2,1
315,1,1,4.2,815,31,24,1662,900.0,2,1
316,1,1,4.0,633,1,24,1662,800.0,2,1
317,1,0,3.5,56,31,37,1312,400.0,2,1
318,1,0,3.0,82,1,73,2253,300.0,2,1
319,1,0,3.7,35,31,73,1098,200.0,2,1
320,1,0,3.6,20,4,73,1394,150.0,2,1
321,1,0,3.1,14,48,73,2209,250.0,2,1
322,1,0,3.9,70,1,37,1153,400.0,2,1
323,1,0,3.9,91,31,16,604,300.0,2,1
324,1,0,3.6,45,31,73,335,200.0,2,1
325,1,0,3.4,7,1,73,1662,250.0,2,1
326,1,0,3.8,28,1,73,1098,150.0,2,1
327,1,0,3.6,24,1,24,1662,600.0,2,1
328,1,0,3.8,36,4,37,1072,200.0,2,1
329,1,0,3.5,11,31,73,1098,200.0,2,1
330,1,0,3.8,77,48,16,563,650.0,2,1
331,1,0,3.2,8,1,83,1541,100.0,2,1
332,1,0,3.7,14,31,73,2164,100.0,2,1
333,1,0,3.8,210,48,24,1714,600.0,2,1
334,1,0,4.1,130,31,16,645,650.0,2,1
335,1,0,4.1,30,31,11,330,100.0,2,1
336,1,0,3.8,144,1,16,724,700.0,2,1
337,1,0,3.4,11,4,6,1944,800.0,2,1
338,1,0,3.7,133,31,24,847,700.0,2,1
339,1,0,4.0,136,31,73,2213,350.0,2,1
340,1,0,3.1,4,4,73,2239,200.0,2,1
341,1,0,3.5,11,4,84,1540,200.0,2,1
342,1,0,3.8,74,4,73,2239,300.0,2,1
343,1,0,3.7,30,4,73,2260,300.0,2,1
344,1,0,3.0,7,4,73,2183,200.0,2,1
345,1,0,3.8,75,1,23,684,200.0,2,1
346,1,0,3.7,54,4,16,510,600.0,2,1
347,1,0,3.6,23,4,56,290,100.0,2,1
348,1,0,3.2,119,1,24,1662,400.0,2,1
349,1,0,3.7,73,1,73,369,400.0,2,1
350,1,0,3.4,58,4,16,601,400.0,2,1
351,1,0,3.6,129,1,24,1501,600.0,2,1
352,1,0,3.6,24,1,73,360,250.0,2,1
353,1,0,3.0,175,48,73,782,400.0,2,1
354,1,0,3.7,21,56,73,2164,300.0,2,1
355,1,0,3.5,41,79,55,2051,400.0,2,1
356,1,0,3.6,35,31,73,2143,300.0,2,1
357,1,0,4.1,176,4,24,86,800.0,2,1
358,1,0,3.5,45,1,11,306,300.0,2,1
359,1,0,3.7,47,31,77,1151,400.0,2,1
360,1,1,3.7,36,31,24,809,650.0,2,1
361,1,0,3.8,52,48,14,294,400.0,2,1
362,1,0,2.7,123,1,73,1098,200.0,2,1
363,1,0,3.6,59,48,24,1597,700.0,2,1
364,1,0,3.2,4,48,73,2175,300.0,2,1
365,1,0,3.8,101,1,73,369,400.0,2,1
366,1,0,3.7,54,1,13,1052,400.0,2,1
368,1,0,3.6,22,4,73,1098,200.0,2,1
369,1,0,3.1,31,1,85,2087,250.0,2,1
370,1,0,3.0,29,48,16,604,500.0,2,1
371,1,0,3.4,6,31,11,283,100.0,2,1
372,1,0,3.0,22,4,73,2239,250.0,2,1
373,1,0,2.9,11,1,73,1597,500.0,2,1
374,1,0,3.9,101,4,73,2164,150.0,2,1
375,1,1,4.1,442,31,71,948,1200.0,2,1
376,1,0,3.5,155,4,73,369,400.0,2,1
377,1,0,3.4,12,1,14,300,150.0,2,1
378,1,0,3.6,15,4,73,2164,100.0,2,1
379,1,0,3.5,10,4,73,2164,200.0,2,1
380,1,0,3.8,25,1,73,2164,300.0,2,1
381,1,0,3.8,61,1,73,1662,300.0,2,1
382,1,0,3.7,23,83,73,840,300.0,2,1
383,1,0,3.8,25,4,73,2115,350.0,2,1
384,1,0,3.7,40,48,73,2246,200.0,2,1
385,1,0,3.3,4,4,73,2077,100.0,2,1
386,1,0,3.4,8,4,73,1206,150.0,2,1
387,1,0,3.5,32,48,73,1662,300.0,2,1
388,1,0,3.3,10,4,73,2164,200.0,2,1
389,1,0,3.4,6,4,73,1189,300.0,2,1
390,1,0,3.8,53,31,73,1307,250.0,2,1
391,1,0,3.7,67,48,24,1597,700.0,2,1
392,1,0,2.9,23,31,83,1530,250.0,2,1
393,1,0,3.4,19,1,73,2236,200.0,2,1
394,1,0,3.6,24,1,73,1063,300.0,2,1
395,1,0,4.0,232,31,73,2191,400.0,2,1
396,1,0,3.9,221,31,24,704,700.0,2,1
397,1,1,4.1,1063,31,25,1352,1200.0,2,1
398,1,0,3.7,93,4,73,2293,200.0,2,1
399,1,0,3.9,233,31,24,1373,800.0,2,1
400,1,0,3.9,211,31,24,1145,500.0,2,1
401,1,0,4.0,1778,31,73,1992,200.0,2,1
402,1,0,3.6,218,86,24,1774,800.0,2,1
403,1,0,3.7,514,4,16,629,600.0,2,1
404,1,1,4.0,866,31,24,1799,900.0,2,1
405,1,0,3.2,96,48,73,1597,400.0,2,1
406,1,0,3.5,80,1,73,2369,250.0,2,1
407,1,0,4.0,73,4,0,250,300.0,2,1
408,1,0,3.9,84,31,83,1541,400.0,2,1
409,1,0,3.5,88,1,73,2242,350.0,2,1
410,1,0,3.5,179,1,24,1683,600.0,2,1
411,1,0,3.8,61,4,73,1387,100.0,2,1
412,1,0,3.7,128,83,24,1696,450.0,2,1
413,1,0,3.8,339,31,73,2239,400.0,2,1
414,1,0,4.1,449,4,73,2293,100.0,2,1
415,1,0,4.1,210,31,39,283,150.0,2,1
416,1,0,3.7,57,4,73,1402,200.0,2,1
417,1,0,3.0,213,1,73,1968,400.0,2,1
418,1,0,3.2,208,31,14,2344,250.0,2,1
419,1,0,3.8,70,1,73,2164,100.0,2,1
420,1,0,4.0,219,4,16,626,600.0,2,1
421,1,0,3.7,59,1,73,2009,200.0,2,1
422,1,0,3.1,10,1,73,1120,500.0,2,1
423,1,0,3.0,9,48,73,1172,400.0,2,1
424,1,0,3.7,124,48,24,415,750.0,2,1
425,1,0,3.7,19,48,73,2164,100.0,2,1
427,1,0,3.3,4,4,73,1286,150.0,2,1
428,1,0,3.3,4,48,37,1064,150.0,2,1
429,1,0,3.8,21,4,37,1310,200.0,2,1
430,1,0,3.4,8,1,74,2172,250.0,2,1
431,1,0,3.5,10,48,73,1774,400.0,2,1
433,1,0,3.5,10,48,73,1597,400.0,2,1
434,1,0,3.2,4,48,73,1558,200.0,2,1
435,1,0,3.1,4,1,36,1597,350.0,2,1
437,1,0,3.6,16,29,86,1277,500.0,2,1
440,1,0,3.3,4,48,11,1597,100.0,2,1
441,1,0,3.4,12,31,73,1194,300.0,2,1
443,1,0,3.9,14,31,24,1949,600.0,2,1
444,1,0,3.7,0,31,73,1764,300.0,2,1
445,1,0,2.8,5,13,86,2195,199.0,2,1
446,1,0,3.3,5,4,25,2242,800.0,2,1
447,1,0,3.5,15,1,73,1966,250.0,2,1
448,1,0,3.4,4,4,24,1833,500.0,2,1
450,1,0,3.6,17,4,73,745,300.0,2,1
453,1,0,3.3,6,1,73,2236,500.0,2,1
454,1,0,3.4,10,1,73,2164,100.0,2,1
456,1,1,4.1,775,1,24,1908,800.0,2,1
457,1,1,4.2,2022,31,24,1949,1000.0,2,1
460,1,1,4.2,150,1,16,633,600.0,2,1
461,1,0,4.0,232,4,24,1662,750.0,2,1
462,1,0,3.9,38,4,73,704,200.0,2,1
464,1,1,3.5,431,31,24,1597,800.0,2,1
465,1,1,4.2,2115,1,24,2058,800.0,2,1
466,1,0,3.4,30,83,73,1128,200.0,2,1
467,1,0,4.2,150,31,24,1597,800.0,2,1
468,1,0,3.3,12,48,73,721,200.0,2,1
469,1,0,3.8,155,31,24,2253,450.0,2,1
470,1,0,3.7,33,4,73,1098,200.0,2,1
471,1,1,4.1,666,31,25,59,1000.0,2,1
473,1,0,3.9,240,4,16,479,700.0,2,1
474,1,0,3.8,918,1,19,657,800.0,2,1
475,1,0,4.0,465,31,24,2253,600.0,2,1
476,1,1,4.1,970,31,65,1818,1500.0,2,1
477,1,0,3.3,128,1,73,1662,300.0,2,1
478,1,0,3.6,241,48,73,1662,300.0,2,1
479,1,0,3.4,22,1,73,2164,200.0,2,1
480,1,0,4.3,734,1,73,2253,200.0,2,1
481,1,0,3.8,130,31,73,1635,400.0,2,1
482,1,0,4.2,261,31,16,550,700.0,2,1
483,1,0,4.0,191,48,73,2254,300.0,2,1
484,1,0,4.1,364,4,24,2207,550.0,2,1
486,1,0,3.8,133,1,73,1506,300.0,2,1
487,1,0,3.9,888,1,24,1976,750.0,2,1
488,1,0,3.1,13,1,16,536,400.0,2,1
489,1,0,3.9,750,4,24,1774,500.0,2,1
490,1,1,4.2,164,1,16,536,500.0,2,1
492,1,0,3.2,6,1,36,2343,200.0,2,1
493,1,0,3.8,527,4,24,1597,500.0,2,1
494,0,0,4.3,345,1,37,1310,400.0,3,1
495,0,0,4.4,356,1,83,1530,150.0,3,1
496,1,0,3.7,17,1,37,1047,400.0,3,1
497,1,0,3.9,38,1,37,1303,150.0,3,1
498,0,0,3.7,78,1,3,222,150.0,3,1
499,0,0,3.8,60,1,37,222,400.0,3,1
500,1,0,4.0,115,1,83,1541,400.0,3,1
501,0,0,3.8,39,1,0,230,300.0,3,1
502,1,0,3.9,116,1,37,1313,400.0,3,1
503,1,0,3.8,918,1,19,657,800.0,3,1
504,0,0,3.7,46,1,84,1541,400.0,3,1
505,1,0,3.9,41,1,37,1041,300.0,3,1
506,1,0,3.8,144,1,16,724,700.0,3,1
507,0,0,3.8,28,1,13,1392,150.0,3,1
508,1,0,4.3,860,1,37,1064,500.0,3,1
509,0,0,3.5,14,1,83,1541,200.0,3,1
510,0,0,4.0,66,1,0,230,300.0,3,1
511,1,0,3.2,8,1,83,1541,100.0,3,1
512,1,0,3.7,54,1,13,1052,400.0,3,1
513,0,0,3.5,7,1,37,1041,500.0,3,1
514,0,0,3.2,9,1,37,1303,300.0,3,1
515,0,0,3.6,42,1,14,310,300.0,3,1
516,0,0,3.8,64,1,73,1105,250.0,3,1
517,1,0,3.6,14,1,0,230,350.0,3,1
518,0,0,3.8,45,1,86,222,400.0,3,1
519,0,0,3.2,11,1,16,500,600.0,3,1
520,0,0,3.5,13,1,0,230,300.0,3,1
521,0,0,3.4,7,1,37,1310,150.0,3,1
522,0,0,3.4,8,1,0,230,400.0,3,1
525,0,0,2.9,25,1,37,1310,200.0,3,1
527,0,0,3.2,17,1,37,1064,150.0,3,1
532,1,0,3.9,35,1,36,230,500.0,3,1
533,1,0,3.9,70,1,37,1153,400.0,3,1
535,0,0,4.0,98,4,84,1544,400.0,3,1
536,0,0,3.7,25,4,37,1310,250.0,3,1
537,1,0,4.0,219,4,16,626,600.0,3,1
538,1,0,4.0,73,4,0,250,300.0,3,1
539,0,0,3.6,16,4,5,255,150.0,3,1
540,0,0,3.6,8,4,0,230,250.0,3,1
541,1,0,3.8,15,4,0,222,400.0,3,1
542,0,0,3.6,46,4,84,1541,200.0,3,1
544,1,0,3.3,13,4,44,1071,300.0,3,1
545,1,0,3.3,9,4,37,1041,250.0,3,1
546,1,0,4.0,43,4,37,1064,250.0,3,1
547,1,0,2.7,97,4,24,2253,400.0,3,1
549,1,0,3.7,22,4,83,1532,250.0,3,1
550,0,0,3.5,15,4,5,222,400.0,3,1
552,1,0,3.6,27,4,37,1098,250.0,3,1
554,1,0,3.9,888,1,24,1976,750.0,4,1
555,1,1,4.0,349,1,24,2124,1200.0,4,1
556,1,0,4.2,287,1,73,1597,350.0,4,1
557,1,1,4.6,2556,1,26,2043,600.0,4,1
558,1,1,4.2,354,1,24,190,800.0,4,1
559,1,1,4.1,775,1,24,1908,800.0,4,1
560,1,1,4.2,2115,1,24,2058,800.0,4,1
561,0,1,3.8,977,1,57,1214,1300.0,4,1
562,0,0,4.1,868,1,68,964,1200.0,4,1
563,1,0,4.0,324,1,16,633,700.0,4,1
564,1,0,4.1,787,1,24,820,800.0,4,1
565,1,0,4.2,504,1,16,658,550.0,4,1
566,1,0,4.1,402,1,16,479,500.0,4,1
567,1,1,4.2,150,1,16,633,600.0,4,1
568,1,1,4.2,164,1,16,536,500.0,4,1
569,0,0,4.2,244,1,24,1365,800.0,4,1
570,1,0,4.0,771,1,24,2239,450.0,4,1
571,1,0,4.2,1647,1,24,849,600.0,4,1
572,0,1,4.0,808,1,24,1662,850.0,4,1
573,0,0,4.0,424,1,16,542,450.0,4,1
574,1,0,3.9,135,1,24,1698,800.0,4,1
576,0,0,3.9,28,1,62,2164,300.0,4,1
577,1,0,3.8,918,1,19,657,800.0,4,1
578,1,0,3.8,90,1,16,479,650.0,4,1
579,1,0,3.9,519,1,24,775,900.0,4,1
580,1,0,3.6,105,1,24,2380,700.0,4,1
581,0,0,3.7,43,1,7,1662,700.0,4,1
582,0,0,3.7,46,1,84,1541,400.0,4,1
583,1,0,3.9,133,1,16,608,800.0,4,1
584,1,0,3.8,144,1,16,724,700.0,4,1
585,0,0,3.9,93,1,16,627,300.0,4,1
586,1,0,3.8,42,1,73,2239,300.0,4,1
587,1,0,2.5,247,1,24,1597,500.0,4,1
588,1,0,3.1,13,1,16,536,400.0,4,1
589,0,0,3.7,39,1,24,1662,450.0,4,1
590,1,0,3.0,62,1,16,615,400.0,4,1
591,1,0,3.8,160,1,24,1662,700.0,4,1
592,0,0,3.5,14,1,83,1541,200.0,4,1
593,0,0,3.8,42,1,24,1662,700.0,4,1
594,1,0,3.1,119,1,24,338,700.0,4,1
